Id,Category
0,5
1,3
2,8
3,6
4,5
5,0
6,1
7,10
8,3
9,11
10,1
11,3
12,5
13,2
14,10
15,11
16,9
17,8
18,3
19,1
20,11
21,5
22,5
23,6
24,11
25,4
26,3
27,1
28,1
29,5
30,0
31,1
32,0
33,3
34,10
35,0
36,9
37,1
38,7
39,3
40,1
41,11
42,9
43,8
44,9
45,6
46,1
47,10
48,5
49,3
50,12
51,8
52,7
53,5
54,5
55,11
56,4
57,11
58,11
59,7
60,6
61,6
62,1
63,0
64,1
65,0
66,10
67,9
68,3
69,7
70,1
71,10
72,7
73,3
74,1
75,1
76,7
77,12
78,2
79,8
80,3
81,5
82,6
83,10
84,4
85,7
86,5
87,1
88,12
89,1
90,10
91,9
92,5
93,5
94,5
95,5
96,0
97,2
98,2
99,7
100,10
101,4
102,6
103,11
104,10
105,6
106,6
107,11
108,3
109,2
110,1
111,6
112,6
113,0
114,4
115,3
116,9
117,5
118,0
119,4
120,1
121,10
122,10
123,4
124,1
125,7
126,5
127,2
128,11
129,8
130,2
131,2
132,6
133,9
134,2
135,5
136,6
137,6
138,1
139,5
140,0
141,5
142,0
143,9
144,12
145,0
146,5
147,5
148,5
149,0
150,7
151,3
152,5
153,1
154,6
155,4
156,10
157,3
158,3
159,5
160,6
161,3
162,3
163,5
164,11
165,1
166,6
167,1
168,1
169,0
170,6
171,11
172,3
173,7
174,0
175,3
176,3
177,9
178,4
179,5
180,7
181,0
182,5
183,1
184,10
185,6
186,1
187,7
188,1
189,10
190,9
191,0
192,5
193,3
194,1
195,2
196,5
197,6
198,11
199,1
200,7
201,12
202,1
203,7
204,0
205,5
206,10
207,3
208,12
209,5
210,0
211,5
212,6
213,2
214,12
215,3
216,0
217,9
218,5
219,6
220,3
221,11
222,3
223,4
224,12
225,4
226,2
227,6
228,7
229,5
230,3
231,7
232,1
233,6
234,1
235,2
236,5
237,5
238,5
239,3
240,5
241,1
242,6
243,6
244,9
245,1
246,9
247,7
248,3
249,3
250,3
251,0
252,6
253,10
254,9
255,2
256,5
257,5
258,1
259,11
260,3
261,0
262,11
263,1
264,10
265,10
266,3
267,1
268,5
269,2
270,5
271,4
272,0
273,9
274,12
275,7
276,5
277,0
278,9
279,3
280,0
281,11
282,10
283,5
284,5
285,0
286,2
287,5
288,1
289,6
290,9
291,5
292,9
293,1
294,0
295,6
296,5
297,6
298,0
299,6
300,2
301,10
302,5
303,3
304,9
305,2
306,3
307,6
308,1
309,9
310,2
311,1
312,2
313,10
314,2
315,0
316,1
317,1
318,6
319,6
320,7
321,12
322,5
323,7
324,6
325,12
326,6
327,2
328,9
329,3
330,6
331,5
332,2
333,6
334,9
335,7
336,0
337,12
338,12
339,6
340,10
341,9
342,2
343,6
344,7
345,3
346,0
347,8
348,6
349,5
350,11
351,6
352,3
353,1
354,5
355,1
356,12
357,1
358,1
359,12
360,8
361,11
362,6
363,0
364,1
365,11
366,5
367,12
368,7
369,11
370,4
371,1
372,1
373,10
374,1
